email,business_name,subject,sent_date,campaign,keep_for_reset
rockforddoorcompany@gmail.com,Rockford Door Company,quick question for Rockford Door Company,2026-03-15T20:16:20-05:00,copperline_service_outreach,True
info@aalltemp.com,A All Temp Inc. Heating & Cooling,quick question,2026-03-14T19:51:12-05:00,copperline_service_outreach,True
info@usalliedplumbing.com,U.S. Allied Plumbing & HVAC,quick question for U.S. Allied Plumbing & HVAC,2026-03-14T19:50:24-05:00,copperline_service_outreach,True
chad@oliphantlock.com,Oliphant Lock & Safe,quick question for Oliphant Lock & Safe,2026-03-14T17:04:50-05:00,copperline_service_outreach,True
jimi@mspinello.com,M Spinello & Son Locksmiths Safe & Security Experts,after-hours calls,2026-03-14T17:04:03-05:00,copperline_service_outreach,True
thad@spinello.com,I. Spinello Locksmiths & Security Integrators,quick question,2026-03-14T17:03:16-05:00,copperline_service_outreach,True
clomoteyseo@gmail.com,24 HR Emergency Plumber Chicago INC,after-hours calls,2026-03-14T16:10:24-05:00,copperline_service_outreach,True
power@powerplumbinginc.com,"Power Plumbing & Sewer Contractor, Inc.",after-hours calls,2026-03-14T16:09:37-05:00,copperline_service_outreach,True
info@lopezplumbingsystems.com,"Lopez Plumbing Systems, Inc.",quick question,2026-03-14T16:08:50-05:00,copperline_service_outreach,True
info@firstchicagoplumbing.com,First Chicago Plumbing,after-hours calls,2026-03-14T16:08:03-05:00,copperline_service_outreach,True
jsewerdrainplumbing@gmail.com,J Sewer & Drain Plumbing,quick question for J Sewer & Drain Plumbing,2026-03-14T16:07:16-05:00,copperline_service_outreach,True
office@apexplumbingchicago.com,Apex Plumbing & Sewer Inc.,after-hours calls,2026-03-14T16:06:28-05:00,copperline_service_outreach,True
vanguardplumbing@gmail.com,"Vanguard Plumbing and Sewer, Inc.",after-hours calls,2026-03-14T16:05:41-05:00,copperline_service_outreach,True
m-home-banner@2x.webp,Goode Plumbing,after-hours calls,2026-03-14T16:04:54-05:00,copperline_service_outreach,True
office@myrescueplumbing.com,Rescue Plumbing,quick question,2026-03-14T16:04:07-05:00,copperline_service_outreach,True
alex@totalph.net,Total Sewer & Drain,quick question,2026-03-14T16:03:20-05:00,copperline_service_outreach,True
hc2603@handymanconnection.com,Handyman Connection of Rockford,after-hours calls,2026-03-14T16:02:33-05:00,copperline_service_outreach,True
john@larsplumbing.com,Lars Plumbing,Quick question about calls,2026-03-14T15:40:05-05:00,copperline_service_outreach,True
comfortadvisor1@icloud.com,Improved Comfort,quick idea for Improved Comfort,2026-03-12T22:52:42-05:00,copperline_service_outreach,True
massieheatingac@gmail.com,Massie Heating and Air Conditioning,quick idea for Massie Heating and Air Conditioning,2026-03-12T22:46:24-05:00,copperline_service_outreach,True
