business_name,city,state,website,phone,contact_method,industry,likely_opportunity,priority_score,to_email,status,email_sent,sent_at,followup_due,scan_notes,contact_note,contactability,facebook_url,instagram_url,contact_form_url,social_channels,social_dm_text,lat,lng
Cropp's Door Service Inc.,Loves Park,IL,https://www.croppsdoorservice.com,8152822702,email,garage_door,,,croppsdoor@sbcglobal.net,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,https://www.facebook.com/337193389741135,https://www.instagram.com/cropps.eric/,https://www.croppsdoorservice.com/request-a-quote,"email_found,facebook_found,instagram_found",Hey Cropp's Door Service Inc. — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.339766,-89.016932
Rock River Door Company,Rockton,IL,http://rockriverdoor.com,8156243667,email,garage_door,,,rockriverdoor@gmail.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,https://www.facebook.com/rockriverpaint,https://www.instagram.com/rockriverdoor/,http://rockriverdoor.com/contact-us/,"email_found,facebook_found,instagram_found",Hey Rock River Door Company — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockton that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.459252,-89.0673285
Raynor Door Authority of Rockford,Loves Park,IL,https://raynordoorauthority.com/locations/rockford,8157062896,email,garage_door,,,rockfordservice@raynordoorauthority.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,https://www.facebook.com/RaynorRockford,https://www.instagram.com/raynordoorauthority/,,"email_found,facebook_found,instagram_found",Hey Raynor Door Authority of Rockford — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.361452899999996,-89.0155837
Superior Overhead Door,Crystal Lake,IL,https://callsuperiordoor.com,8157881100,email,garage_door,,,info@callsuperiordoor.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,https://www.facebook.com/SuperiorOverheadGarageDoor,https://www.instagram.com/superior_overhead_door/,https://callsuperiordoor.com/contact/,"email_found,facebook_found,instagram_found",Hey Superior Overhead Door — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Crystal Lake that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.2673835,-88.369124
Barcol Door Company Inc.,Loves Park,IL,https://barcoldoor.com,8156330545,email,garage_door,,,bea0545@gmail.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,,,https://barcoldoor.com/contact/,email_found,Hey Barcol Door Company Inc. — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3193505,-89.0385022
Perfect Temp Heating & Cooling,Loves Park,IL,https://perfecttemprockford.com/lovespark-il-hvac,8152965759,email,hvac,,,perfecttempheatingcooling@gmail.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/perfect.temp.rkfd,,https://perfecttemprockford.com/contact-us/,"email_found,facebook_found",Hey Perfect Temp Heating & Cooling — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.327473,-89.0456584
Absolute Value Heating & Cooling - Rockford,Rockford,IL,http://goabsolutevalue.com,8472509625,email,hvac,,,absolutevalue06@gmail.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/goabsolutevalue,,,"email_found,facebook_found",Hey Absolute Value Heating & Cooling - Rockford — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.2865246,-89.026443
"Improved Comfort Rockford HVAC & Furnace Repair Pros, Inc.",Rockford,IL,https://hvacrockfordil.com,7799707066,email,hvac,,,info@yourcompany.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,,,https://hvacrockfordil.com/schedule-page-6932,email_found,"Hey Improved Comfort Rockford HVAC & Furnace Repair Pros, Inc. — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!",42.2671383,-89.0815283
MP Heating & Air Conditioning,Machesney Park,IL,http://www.mphvac.com,8156399190,email,hvac,,,info@mphvac.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/MPHVAC,,,"email_found,facebook_found",Hey MP Heating & Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Machesney Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3835871,-89.0192028
Gilley's Heating & Air Conditioning,Rockford,IL,http://www.gilleysheatingandair.com,8159621927,email,hvac,,,service@gilleysheatingandair.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/GilleysHeatingAndAirConditioning,https://www.instagram.com/GilleysHVAC/,http://www.gilleysheatingandair.com/contact,"email_found,facebook_found,instagram_found",Hey Gilley's Heating & Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3006728,-89.08618659999999
Massie Heating and Air Conditioning,Loves Park,IL,https://www.massiehvac.com,8159887284,website,hvac,,,,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,website_contact_only,,,https://www.massiehvac.com/request-form,contact_form_only,Hey Massie Heating and Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3441937,-89.0123947
Gough Heating & Air Conditioning Ltd,Loves Park,IL,http://goughheating.com,8156337130,email,hvac,,,stephanie@goughheating.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/goughheating,,,"email_found,facebook_found",Hey Gough Heating & Air Conditioning Ltd — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3107037,-89.05928840000001
Latino Heating & Cooling Inc,Machesney Park,IL,https://latinoheatingcoolinginc.com,8155191542,email,hvac,,,v.manzanarez@yahoo.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/latinoheatingcoolinginc,,https://latinoheatingcoolinginc.com/contact,"email_found,facebook_found",Hey Latino Heating & Cooling Inc — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Machesney Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.327733699999996,-89.0533378
"Affordable American Air Heating, Cooling & Energy services",Lombard,IL,http://www.affordableamericanair.net,6304822995,email,hvac,,,affordableaahvac@yahoo.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/AffordableAmer1,,http://www.affordableamericanair.net/#Contact,"email_found,facebook_found","Hey Affordable American Air Heating, Cooling & Energy services — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Lombard that replies to missed callers automatically. Happy to send a quick example — just let me know!",41.8608537,-88.00919259999999
Any Temp Heating & Cooling,Addison,IL,https://any-temp.com,6303267814,email,hvac,,,workorder@any-temp.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/anytemp,,https://any-temp.com/contact-us/,"email_found,facebook_found",Hey Any Temp Heating & Cooling — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Addison that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.9351653,-88.0122669
Global Heating and Cooling | HVAC,Chicago,IL,https://www.globalheatingcooling.us,7738013734,email,hvac,,,info@globalheatingcooling.us,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/ghcus,,https://www.globalheatingcooling.us/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.8,"email_found,facebook_found",Hey Global Heating and Cooling | HVAC — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Chicago that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.898502,-87.667039
"Freedom Heating, Cooling & Electrical",Franklin Park,IL,https://freedomheatcool.com,8472509265,email,hvac,,,info@freedomheatcool.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/freedomheatingandair,https://www.instagram.com/freedom.hvac/,https://freedomheatcool.com/contact/,"email_found,facebook_found,instagram_found","Hey Freedom Heating, Cooling & Electrical — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Franklin Park that replies to missed callers automatically. Happy to send a quick example — just let me know!",41.930091,-87.874253
Planz Heating & Air Conditioning,Villa Park,IL,http://www.planzheating.com,6302792995,email,hvac,,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/PlanzHeating,,,"email_found,facebook_found",Hey Planz Heating & Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Villa Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.90302820000001,-87.98754149999999
"Paragon Heating, Cooling, and Tankless",Villa Park,IL,https://www.pmcomfort.com,8475824570,email,hvac,,,customerservice@pmcomfort.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/ParagonMechanical,https://www.instagram.com/paragonmechanical/,https://www.pmcomfort.com/shop/#/journey/instant_quote,"email_found,facebook_found,instagram_found","Hey Paragon Heating, Cooling, and Tankless — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Villa Park that replies to missed callers automatically. Happy to send a quick example — just let me know!",41.9040302,-87.9814498
"Pro Air Heating Cooling and Electrical, HVAC Downers Grove, Naperville, Hinsdale, and Electrician",Downers Grove,IL,https://www.proairhce.com,6306415489,email,hvac,,,proservice@proairhce.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/ProHCE,https://www.instagram.com/proairheatingcoolingelectrical/,,"email_found,facebook_found,instagram_found","Hey Pro Air Heating Cooling and Electrical, HVAC Downers Grove, Naperville, Hinsdale, and Electrician — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Downers Grove that replies to missed callers automatically. Happy to send a quick example — just let me know!",41.7944329,-88.009993
Chicago Heating & Cooling,Chicago,IL,http://www.chicagoheatingandcooling.com,3128525152,email,hvac,,,info@chicagoheatingandcooling.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/AlwaysThereApplianceRepair,https://www.instagram.com/alwaystherehomesolutions/,http://www.chicagoheatingandcooling.com/schedule-furnance-tune-up,"email_found,facebook_found,instagram_found",Hey Chicago Heating & Cooling — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Chicago that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.888939,-87.63294499999999
HvacTech Heating And Cooling,Franklin Park,IL,http://www.hvactechusa.com,8473432840,email,hvac,,,hvactechchicago@gmail.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/2008,https://www.instagram.com/hvactechh/,http://www.hvactechusa.com/contact-us,"email_found,facebook_found,instagram_found",Hey HvacTech Heating And Cooling — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Franklin Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.9408746,-87.8686828
Comfort Services Heating & Air Conditioning,Downers Grove,IL,https://www.comfortserv.com,6305196980,email,hvac,,,cs@comfortserv.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/ComfortServicesHeatingAirConditioning,https://www.instagram.com/comfort.services/,https://www.comfortserv.com/contact-us/,"email_found,facebook_found,instagram_found",Hey Comfort Services Heating & Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Downers Grove that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.807134,-88.03450319999999
Four Seasons Garage Doors,Roselle,IL,https://fourseasonsgd.com,6303942144,email,garage_door,,,info@fourseasonsgd.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/FourSeasonsGD,,https://fourseasonsgd.com/contact/,"email_found,facebook_found",Hey Four Seasons Garage Doors — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Roselle that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.985749899999995,-88.0905899
